Date,Close,High,Low,Open,Volume
2024-12-17,449.13,449.95,444.3,445.72,22733500
2024-12-18,432.26,447.34,431.9,446.03,24444500
2024-12-19,431.91,437.98,431.2,436.44,22963700
2024-12-20,431.48,438.54,423.6,428.03,64263700
2024-12-23,430.15,432.52,427.76,431.62,19152500
2024-12-24,434.18,434.45,429.1,429.55,7164500
2024-12-26,432.97,435.77,431.51,433.93,8194200
2024-12-27,425.48,430.12,421.35,429.5,18117700
2024-12-30,419.85,422.54,416.95,421.06,13158700
2024-12-31,416.56,421.73,415.73,421.1,13246500
2025-01-02,413.67,421.07,409.99,420.54,16896500
2025-01-03,418.39,419.06,414.62,416.14,16662900
2025-01-06,422.83,429.23,420.49,422.98,20573600
2025-01-07,417.42,425.6,415.87,423.97,18139100
2025-01-08,419.58,421.96,416.6,418.5,15054600
2025-01-10,414.04,419.73,410.15,419.65,20201100
2025-01-13,412.3,413.59,407.46,410.37,17604800
2025-01-14,410.8,414.82,405.9,412.91,16935900
2025-01-15,421.31,423.13,413.37,414.22,19637800
2025-01-16,419.6,424.45,419.41,423.67,15300000
2025-01-17,424.0,429.39,423.15,429.0,26197500
2025-01-21,423.48,425.85,420.61,425.16,26085700
2025-01-22,440.97,442.03,430.89,432.43,27803800
2025-01-23,441.47,441.51,436.32,436.82,18389300
2025-01-24,438.85,441.41,436.23,439.94,15549500
2025-01-27,429.47,430.1,418.53,419.04,35647800
2025-01-28,441.96,443.12,426.32,429.5,23491700
2025-01-29,437.14,441.64,435.24,441.45,23581400
2025-01-30,410.12,417.9,408.32,413.86,54586300
2025-01-31,410.19,415.76,410.05,414.07,34161900
2025-02-03,406.1,410.54,403.87,406.77,25679100
2025-02-04,407.54,409.07,404.94,407.85,20532100
2025-02-05,408.44,408.98,405.59,407.52,16316700
2025-02-06,410.95,413.3,409.15,409.15,16309800
2025-02-07,404.95,413.74,403.32,411.6,22886800
2025-02-10,407.39,410.59,406.1,408.86,20817900
2025-02-11,406.62,407.65,404.5,404.84,18140600
2025-02-12,404.24,405.93,399.63,402.44,19121700
